genre,style,country,mood,biography
Pop,Rock/Pop,"Pennsylvania, USA",Energetic,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter and occasional actress. Raised in Wyomissing, Pennsylvania, Swift moved to Nashville, Tennessee at the age of fourteen to pursue a career in country music. She signed to the independent label Big Machine Records and became the youngest songwriter ever hired by the Sony/ATV Music publishing house. The release of Swift's eponymous debut album in 2006 established her as a country music star. ""Our Song"", her third single, made her the youngest sole writer and singer of a number one song on the country chart. She received a Best New Artist nomination at the 50th Grammy Awards.

Swift's second album, Fearless, was released in late 2008. Buoyed by the chart success of the singles ""Love Story"" and ""You Belong with Me"", Fearless attracted a crossover audience and became the top-selling album of 2009. The record won four Grammy Awards, with Swift becoming the youngest ever Album of the Year winner. Fearless also received Album of the Year plaudits at the American Music Awards, Academy of Country Music Awards and Country Music Association Awards, making it the most awarded album in country music history. In 2010, Swift released her third album, Speak Now, which sold over one million copies in its first week. She then embarked on the 111-date Speak Now World Tour, which was attended by over 1.6 million fans. The album's third single, ""Mean"", won two Grammy Awards for Best Country Song and Best Country Solo Performance. Swift is currently recording her fourth studio album, due for release in the fall of 2012.

The New York Times considers Swift to be ""one of pop’s finest songwriters"" while Rolling Stone describes her as one of the best songwriters in contemporary ""pop, rock or country"". Her work has earned her numerous awards and accolades, including six Grammy Awards, ten American Music Awards, seven Country Music Association Awards, six Academy of Country Music Awards and 13 BMI Awards. She has sold over 22 million albums and 50 million song downloads worldwide. In addition to her music career, Swift has appeared as an actress in the crime drama CSI: Crime Scene Investigation (2009), the romantic comedy Valentine's Day (2010) and the animated film The Lorax (2012). As a philanthropist, Swift has supported arts education, children's literacy and natural disaster relief funds."
,,,,
,,"Greater London, England",,"Olivia Lauryn Dean (born 14 March 1999) is an English singer. She began her career working in collaboration with Rudimental. She was named Amazon Music's 2021 breakthrough artist of the year and recorded an exclusive version of Nat King Cole's ""The Christmas Song"" for Amazon's 2021 Christmas Originals line-up, which charted at number 19 in the UK singles chart"
Pop-Rock,Rock/Pop,"Buffalo, New York, USA",Fun,
Pop,Rock/Pop,"Tooting, London, UK",,"Four times BRIT nominated, RAYE is one of the most streamed artists in the world with over 3 billion streams of her music. She has a double-platinum, five platinum, three gold and five silver singles to her name. She is also indisputably one of the UK’s premier songwriters. Her songs have amassed over 3.5 billion streams, having written for some of the world’s biggest artists including: John Legend, Ellie Goulding, Khalid, David Guetta, Diplo, and Beyonce. In 2019 she was awarded The BMI Impact Award in recognition of her ‘ground-breaking artistry, creative vision and impact on the future of music, in 2022 she was nominated for the Ivors Songwriter of the year.

The emotionally raw, in-your-face anthem Hard Out Here, marked the singer-songwriter’s first solo music in over a year and her official debut as an independent artist. The following singles, included Escapism which became a world wide smash hit leading to the widespread discovery of RAYE the artist, ahead of the release of her debut album My 21st Century Blues. It’s RAYE part two. RAYE on her own terms. It’s the RAYE of old, but reloaded. These are songs made by RAYE, for RAYE, but within that they’re for everyone who has faced and overcome adversity. They’re also anthems for other women in the industry, or stuck in a cycle of misogyny."
Hip-Hop,Urban/R&B,"Toronto, Canada",Passionate,"Aubrey Drake Graham (born October 24, 1986), who records under the mononym Drake, is a Canadian recording artist and actor. He originally became known for playing Jimmy Brooks on the television series Degrassi: The Next Generation.

In June 2009, Drake signed a recording contract with Lil Wayne's Young Money Entertainment. In November 2009, Lil Wayne released a statement announcing that Drake's first studio album, Thank Me Later, had been completed. The album was released on June 15, 2010, and debuted at number one on the Billboard 200. The album has since gone platinum. He released his second studio album on November 15, 2011 titled Take Care. Drake was set to release an R&B mixtape sometime in the future along with a collaboration album with Lil Wayne, however, both have been postponed for various reasons.

Drake has worked with several other hip-hop artists such as Lil Wayne, Rick Ross, Kanye West, Eminem, Jay-Z, and Nicki Minaj. With the success of his mixtape-turned-EP So Far Gone, Drake has been nominated for several awards including Grammys, even being selected to perform at the 2010 Grammy award ceremony. Drake has also won several awards, including two Juno Awards in 2010 for Best New Artist, and Rap Recording of the Year.

In addition to making his own music, Drake has also written for other artists in the industry such as Alicia Keys, Jamie Foxx and more. He also tends to feature or remix tracks that he has written for other artists such as Unthinkable Remix by Alicia Keys. Drake also claims that he and Lil Wayne have both written for Dr. Dre's Detox album. In the list of the songs written, ""Yesterday"", of Diddy - Dirty Money featuring Chris Brown, written with Chris Brown, Cristyle, Kevin McCall and Mario Winans, from Diddy's fifth studio album, Last Train to Paris. Drake also wrote the song ""Unthinkable"", by Alicia Keys, also written with Keys and Kerry Brothers, Jr., Noah ""40"" Shebib, from her album The Element of Freedom. He is featured in the remix of the song.

Drake was ranked No. 2 on MTV's Hottest MCs In The Game VII list in 2012. He currently has more number-one singles, twelve, on Billboard's Rap Songs Chart than any other artist, and is, other than 50 Cent, the only artist to simultaneously occupy the chart's top three positions.

Aubrey Drake Graham was born on October 24, 1986, in Toronto, Ontario. He is the son of Dennis Graham, a drummer who worked with Jerry Lee Lewis, and Sandi Graham, an educator. Two of his uncles, Larry Graham and Teenie Hodges, are also musicians. Drake's father is an African American from Memphis, Tennessee, and Drake's mother is a Jewish Canadian. He attended a Jewish day school and had a Bar Mitzvah. His parents divorced when he was five years old, and he was raised by his mother in Toronto's wealthy Forest Hill neighborhood. Drake attended high school at Forest Hill Collegiate Institute, where he began acting, but did not graduate. He spent most summers with his father in Memphis. Drake stated that his parents' divorce greatly affected him as a person, saying, â€œI had to become a man very quickly and be the backbone for a woman who I love with all my heart, my mother."""
Pop,Manufactured Pop,"Lehigh Valley,USA",Carefree,"Sabrina Annlynn Carpenter (born May 11, 1999) is an American singer, songwriter and actress. Carpenter made her acting debut with an appearance in the crime series Law & Order: Special Victims Unit and received recognition for her recurring role as a young Chloe Goodwin in The Goodwin Games. She had her breakthrough starring as Maya Hart in the Disney Channel series Girl Meets World (2014–2017); she also appeared in the television film Adventures in Babysitting (2016) for the network.

Carpenter has starred in the feature films Horns (2013), The Hate U Give (2018), The Short History of the Long Road (2019), Clouds (2020) and Emergency (2022). She has also starred in the Netflix films, Tall Girl (2019), its sequel (2022) and Work It (2020). As a voice actress, she had a recurring role as Princess Vivian in Sofia the First (2013–2018), and as Melissa Chase on Milo Murphy's Law (2016–2019).

In 2014, Carpenter was signed to Hollywood Records. Her debut single, Can't Blame a Girl for Trying and EP of the same name, were released in the same year. She released her debut album, Eyes Wide Open, in 2015 and released three more studio albums with the label: Evolution (2016), Singular: Act I (2018), and Singular: Act II (2019). After departing from Hollywood Records, Carpenter was signed by Island Records in 2021. She subsequently released her fifth studio album, Emails I Can't Send (2022), under the label."
,,,,"Saja Boys (사자소년) is a fictional 5-member Korean boy group, created for the Netflix animation film “KPop Demon Hunters”. The group consists of Jinu, Mystery, Abby, Romance, and Baby. They debuted on June 20, 2025, with Soda Pop.

Group Name Meaning: “Saja” (사자) means “Lion” in Korean. The name also refers to the jeoseung saja (저승사자), the grim reaper figures who escort souls to the afterlife, reflecting their role in the movie."
,,,,
Pop,Rock/Pop,"Ontario, Canada",Good Natured,"Justin Drew Bieber is a Canadian Pop/R&B singer-songwriter, musician, and actor. Bieber was discovered in 2008 by Scooter Braun, who came across Bieber's videos on YouTube and later became his manager. Braun arranged for him to meet with Usher in Atlanta, Georgia, and Bieber was soon signed to Raymond Braun Media Group (RBMG), a joint venture between Braun and Usher, and then to a recording contract with Island Records offered by L.A. Reid. Bieber's debut single, ""One Time"", was released in 2009 and peaked in the top twenty in Canada and charted in the top thirty in several international markets. His debut album, the seven-track EP My World, followed in November 2009, and was soon certified platinum in the United States. He became the first artist to have seven songs from a debut album chart on the Billboard Hot 100.

Bieber's first full-length studio album, My World 2.0, was released in March 2010. It debuted at number one or within the top ten in several countries and was certified platinum in the United States. It was preceded by the worldwide top-ten single, ""Baby"". The music video of ""Baby"" is currently ranked as the most viewed and most discussed YouTube video. Bieber followed up the release of his debut album with his first headlining tour, My World Tour, the remix albums My Worlds Acoustic and Never Say Never - The Remixes, and the 3D biopic-concert film Justin Bieber: Never Say Never, which nearly matched the record for the biggest opening weekend gross for a concert-film. Bieber released his second studio album, Under the Mistletoe, in November 2011, which debuted at number one on the Billboard 200. Bieber has received numerous awards, including Artist of the Year at the 2010 American Music Awards, and has been nominated for such awards as Best New Artist and Best Pop Vocal Album at the 53rd Grammy Awards. With a fan base of millions, termed as ""Beliebers"", and over 20 million followers on Twitter, in 2012, Forbes named Bieber 3rd most powerful celebrity in the world, with earnings of an estimated $55 million. As of May 2012, Bieber has sold 15 million albums."
